Starting up http-server, serving out/

http-server version: 14.1.0

http-server settings: 
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:8080
  http://199.94.68.150:8080
Hit CTRL-C to stop the server

[2022-04-20T20:48:51.617Z]  "GET /" "pa11y/6.1.1"
(node:54515) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2022-04-20T20:48:56.384Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/archive.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.384Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/studios.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.385Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/news.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.385Z]  "GET /_next/data/1MVTFwGhKHOyrI1GnC9ez/events.json" "pa11y/6.1.1"
[2022-04-20T20:48:56.386Z]  "GET /_next/static/chunks/pages/about/initiative-5f902a8b43803d11.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.387Z]  "GET /_next/static/chunks/pages/about/community-f8d9dbd9cd33db72.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.387Z]  "GET /_next/static/chunks/29107295-fbcfe2172188e46f.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.387Z]  "GET /_next/static/chunks/327-fc908da545e41d8e.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.390Z]  "GET /_next/static/chunks/pages/archive-06fa4e945ae688df.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.391Z]  "GET /_next/static/chunks/pages/studios-06684fcf0ab922cc.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.393Z]  "GET /_next/static/chunks/pages/news-614c8be20312abe7.js" "pa11y/6.1.1"
[2022-04-20T20:48:56.394Z]  "GET /_next/static/chunks/pages/events-e49023c63bfd71d3.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.255Z]  "GET /resources/" "pa11y/6.1.1"
[2022-04-20T20:48:57.265Z]  "GET /_next/static/css/9fd74d7ef3bc183a.css" "pa11y/6.1.1"
[2022-04-20T20:48:57.267Z]  "GET /_next/static/chunks/webpack-cb7634a8b6194820.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.269Z]  "GET /_next/static/chunks/framework-5f4595e5518b5600.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.271Z]  "GET /_next/static/chunks/main-88746e6456327801.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.273Z]  "GET /_next/static/chunks/pages/_app-c62b0342885da6cf.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.273Z]  "GET /_next/static/chunks/592-06453f9ab50b5a81.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.274Z]  "GET /_next/static/chunks/pages/resources-83d979c56887f4dc.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.274Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_buildManifest.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.278Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_ssgManifest.js" "pa11y/6.1.1"
[2022-04-20T20:48:57.278Z]  "GET /_next/static/1MVTFwGhKHOyrI1GnC9ez/_middlewareManifest.js" "pa11y/6.1.1"
